assembly	A_hits	B_hits
GCF_000001405.40	0	1
GCF_009914755.1	0	1
GCF_000001405.39	0	1
GCF_000001405.38	0	1
GCF_000001405.37	0	1
GCF_000001405.36	0	1
GCF_000001405.35	0	1
GCF_000001405.34	0	1
GCF_000001405.33	0	1
GCF_000001405.32	0	1
GCF_000001405.31	0	1
GCF_000001405.30	0	1
GCF_000001405.29	0	1
GCF_000001405.28	0	1
GCF_000001405.27	0	1
GCF_000001405.26	0	1
